Username,Tanggal,Komentar,Aspek,Sentimen
@pink19a,2025-09-22T15:31:00Z,"Enteng bgt abg ini beli iphone ,😢 menyala ginjal kkkkkkuuuuuuuuuu 😢",Umum,Netral
@RedmiNote10Pro-5G,2025-09-22T15:30:01Z,Sholawat tin aja ya Allah amin🙏,Umum,Netral
@mdzepiko503,2025-09-22T15:28:53Z,"Ini tergantung slera masing² ya, klo mnurutku gada mewah² nya, malah terkesan burik kya hp murah 😅",Harga,Netral
@dafaalmeyda,2025-09-22T15:28:31Z,Lagi dan lagi tim nyimak sajaaaa 😂😂😂😂,Performa,Netral
@anonyma2200,2025-09-22T15:28:09Z,Warna tone hasil foto kamera iphone 17 pro jadi kuning ya di bandingkan sama iphone 17 pro. Kayanya lebih worth it iphone 17 base model sih,Kamera,Positif
@ardaarx,2025-09-22T15:26:44Z,Bang David coba review Airpods pro 3 dongg,Umum,Netral
@pundybawono4487,2025-09-22T15:25:15Z,Review Motorola Moto Pad 60 pro....makasih bang David,Umum,Netral
@kikiparizki1783,2025-09-22T15:24:42Z,"Udah jelek iphone sekarang,, cuma bikin penasaran doang",Umum,Netral
@HAIKAL12-v7w,2025-09-22T15:24:30Z,Bang Coba unbox vivo y04,Umum,Netral
@Xyz-m3w7w,2025-09-22T15:24:24Z,"Dah hidup ga perlu nurutin gengsi, klo dikasih ip 17 ttp nerima ya g si?😂",Umum,Netral
@Tikusjinodo,2025-09-22T15:23:45Z,"14:44  di ios 26 emang agak berat sih, mungkin iphone 16, stabilnya di ios 18 aja,",Umum,Netral
@mhadsmusic9889,2025-09-22T15:20:36Z,Udah resiko tinggal di indo ya bg😅,Umum,Netral
@Agamsuka,2025-09-22T15:19:13Z,"Makin fix ga bakalan beli ip 17 pro,walaupun di buat harga lebih murah sama 16 tetep milih 16",Harga,Netral
@apen-uz9zp,2025-09-22T15:18:48Z,Huawei pura cuma ketawa aja ngeliat ini😊,Umum,Netral
@rapalanakpotocki,2025-09-22T15:17:53Z,"gede banget pajak nya ya bang, kayanya negara abang sangat bahagia dan sejahtera 😊",Umum,Netral
@FAUZENV160,2025-09-22T15:17:09Z,"Selain barang"" yang warna ijo sage ini lagi viral, minuman yang warnanya ijo"" an juga lagi viral loh bang david, contohnya matcha tuh😅",Performa,Netral
@nicootarigan,2025-09-22T15:17:06Z,"Semakin yakin bahwa perubahan iphone lebih ke display dan kamera saja. Sisanya soal engine, yaahhh lebih ke mengikuti kebutuhan sistem OS nya aj, 😅😅. 
Ya sudah, intinya pastikan beli barang dengan memperhitungkan 3 aspek penting yaitu: kebutuhan, kemampuan dan keinginan.",Kamera,Netral
@this-is-vidd1656,2025-09-22T15:16:50Z,"Ntahlah.. wlaupun gw stuck di ip xs, tapi rasanya liat ip msih gini² aja berasa monoton huhu",Umum,Netral
@Random_konten44,2025-09-22T15:13:11Z,Waw 30 jt...  Mau beli mikir 1000x,Umum,Netral
@rozanaribahsiregar1099,2025-09-22T15:12:08Z,"Pajak 8 jt 😂 , apa2 di pajakin",Umum,Netral
@GadgetIn,2025-09-22T00:59:23Z,"Timestamp:
00:00 iPhone 17 SERIES! +pajak
01:15 Unboxing iPhone 17
03:00 IJO MAHAL
06:10 Saya suka Sage
07:05 Aksesoris cakep buat iPhone 17
09:35 Akhirnya ya, 120Hz & iOS 26!!!
12:45 Gini doang HEPI
14:10 vs iPhone 16
15:10 Bezel lebih TIPIS
15:35 Kamera selfie yang bagus?
17:30 Material + sampel foto
18:40 iPhone 17 PRO!
19:40 Orangenya agak...
21:50 Desain Tom & Jerry
24:30 Casing yang bikin salah paham
26:20 Kamera versus iPhone 16 Pro",Harga,Positif
@ikhsanaz2011,2026-03-30T07:15:01Z,Alhamdulillah Nonton review ini pake IP 17 basic. Puas banget buat Daily,Umum,Positif
@aamirdhen2549,2026-03-29T10:12:45Z,"Up mahal doang kt bang David design y dari zaman purba kek gitu2 ajh 🤣 
Bagusan Samsung s26 ultra",Harga,Negatif
@arumluphytax6413,2026-03-29T08:17:56Z,"saran dong guys..Jadi mending mana, 16pm atau 17pm",Umum,Netral
@albertmantende4775,2026-03-28T07:43:52Z,bang ijin tanya oppo renno 15 pro vs iphone 16 bgus mana?,Umum,Netral
@indrakenzie7944,2026-03-26T06:40:13Z,"kenapa model ip 17 promax model nya terlalu norak ya,kyk hp mainan orange pulak kyk mainan anak² ,udah norak mahal pula najis",Harga,Negatif
@KingHendri-l2q9f,2026-03-24T02:39:16Z,"Bajaj
Pasukan kebersihan
Kang parkir
Warnanya juga orange bro😁",Desain,Positif
@didietrisyaapriani,2026-03-23T15:54:14Z,"Beli iPhone 17promax Ko sy ada stiker Made in china ya padahal beli di iBox resmi ,",Harga,Netral
@amexchannel5052,2026-03-23T11:13:14Z,Flashback nokia xpress music ..full alumunium ..,Umum,Netral
@echakhumaedi7657,2026-03-22T18:03:57Z,"semakin ragu mau beli 17promax / samsung s26 ultra 😮😮😮😮 ini baru pertama kali mau pake ip, minta saran dong guyss",Harga,Negatif
@lifeisbeautifulfr,2026-03-22T04:37:06Z,"1:31 ""bisa langsung ke time stamp aja ya, manfaatin fiturnya""

See? Betapa humble nya Abang kita yang satu ini 

Terima kasih banyak Bang David, kebetulan difase pertimbangan mau beli iPhone 17 atau hold dulu dan stay di Samsung

Terus berkarya Bang!",Harga,Negatif
@faisalsolois...7546,2026-03-18T07:58:49Z,Saya udah punya...,Umum,Netral
@MBagusHafidziii,2026-03-01T15:42:29Z,ip 17 emg gbs make sim card fisik ya?,Umum,Netral
@Mangcihuy-p6m,2026-02-27T14:02:32Z,3:15 ijo miskin 🗿,Umum,Netral
@cahayamandiriexpressadmin,2026-02-16T08:54:33Z,"Serius tanya, barang2 tersebut kalau sudah di riview di kemanakan? Di jual lagi atau di pake sendiri?",Harga,Netral
@mamaekantor,2026-02-16T07:27:53Z,Sage sagu,Umum,Netral
@mamaekantor,2026-02-16T07:25:51Z,Seri 17 pro/promax yang harganya paling mahal warna cosmic oranye atau silver koh?,Harga,Negatif
@mbahwahab8565,2026-02-13T04:53:40Z,Apa² dipajak..tapi feedback ke rakyat gak ada..,Harga,Netral
@NonMercy-k4v,2026-02-12T11:56:13Z,Layar mini gak jadi beli ah,Harga,Netral
@Magicchessthegame,2026-02-12T09:35:11Z,Kuning kayak Poco poco,Umum,Netral
@morabaek862,2026-02-10T19:17:25Z,Nontom riview menggunakan iphone 17 promax 512gb 😇,Desain,Netral
@MitaRia-jl2ks,2026-02-04T09:51:57Z,Bisa2 nya aku tonton video ini dg isi saldo rekening gak cukup buat beli 😅,Harga,Netral
@ryudentsu2,2026-02-03T01:53:18Z,Coba nubia v80 design bang 😊,Umum,Netral
@xpmixchannel,2026-02-02T23:31:04Z,"Hp puluhann juta kok berasa B aja ya
berasa pke kamera 3jtaan
Iphone jdi berasa identitas hp prrmium aja nma nya
Justru sya lebih enjoy dgn hasil kamera 3jtaan sperti infinix note 50 pro
(Dalam foto wajar sprri selfie atau video)
Mukin kalo hasil kamera iphone layaknya sperri hasil kamera DSLR /mirorless,sy rrkomend drh bwt pke iphone
Ksimpulan nya
Klo hp puluhan juta ksh hasil ssma sprri hp 3jtaan
Yah jwbnya lbwt apa iphone
Tetinksh atas pencerahan review nya
smga ug kmrrn bli iphone 17 gk nangis krna nyesel dibohongin marketing iphone hehehe",Kamera,Negatif
@daveorlando9896,2026-01-29T15:44:19Z,watching this video with my iphone 17pro blue cash 😭,Kamera,Netral
@32.yehezkielRichardoThiofilus,2026-01-28T22:31:25Z,ip 17 pro bisa dipasang sim card fisik nggak,Umum,Netral
@ajengyunisa7768,2026-01-28T09:38:03Z,Mending 16pro apa 17 basic yaa,Umum,Negatif
@kopral_tani,2026-01-27T17:32:17Z,"Kalau untuk bergaya iphone sama samsung memang menang.
Lihat Mas.Didit Prabowo,hp iphone masih type lama,padahal dia bisa beli type iphone terbaru segudang.
Pelajar kalau ga pake iphone khususnya siswi smp-sma dan anak kuliah dia sangat gengsi,ujung2nya minta emak-babeh.
Iphone simbol khas dari Generasi Z.",Harga,Negatif
@Moto-melove,2026-01-23T03:47:24Z,"nunggu secondnya, siapa tau ada yg jual 25rb 😂😂",Harga,Netral
@slsnf4120,2026-01-22T20:00:57Z,HAHAHAHA 17:30,Umum,Netral
@Widyaayu로그,2026-01-22T04:40:58Z,Jadi mending iphone 17promax atau Samsung Fold 7 guys?,Umum,Negatif
@Eaudegimik,2026-01-22T04:04:22Z,Adooooh kameranya trnyata lbh bagus 16 pro,Kamera,Positif
@masrukhanukhan2045,2026-01-18T13:47:35Z,74 balasan,Umum,Netral
@Cheesse200,2026-01-14T08:00:17Z,"Saran dong, aku baru beli ip 17 ni",Harga,Netral
@Undi-k2f2b,2026-01-07T01:47:02Z,Kk review ip 17 mini,Umum,Netral
@M.H.B_90,2026-01-06T16:38:20Z,"Gue baru beli diakhir tahun kemarin. Buta bgt soal iphone 17. Datang ke toko, bilang mau iphone 17. Tadinya mau yg putih, tp adanya yg sage, cakep jg. Setelah beli baru liat review 😂",Harga,Positif
@CeritaZehan20,2026-01-06T03:50:21Z,Malah seperti hp mainan 😂😂,Performa,Netral
@Adesari02,2026-01-06T01:28:40Z,"Aku mau beli yg sage jd mastiin dulu liat video ini, oh sage emg kalem warnanya fix sih beli sage aja 😂 apple koq bisa2nya promax dikasi wrn gonjreng bikin sakit mata😢 malah bagus2 wrn yg 17 basic daripada yg pro-promax nya 😂",Harga,Positif
@zendratonga,2026-01-06T01:13:44Z,Yang 17 promax kok ndak buat konten,Umum,Netral
@amalik2554,2026-01-04T22:56:12Z,Bentuk sama warna nya kek gameboat yg sering gua maenin pas kecil😂,Performa,Netral
@Sutana-id8qh,2026-01-04T13:50:47Z,Ip 17 pake charger 30 watt boleh ga yaa ?,Baterai,Netral
@甘いみかん-e9n,2025-12-30T07:50:22Z,Warna orange sony ericsson walkman series 🙈,Desain,Netral
@krisnaartandinteriorentert007,2025-12-30T00:11:38Z,Cuma bisa pengen doang belum mampu beli 🥲,Harga,Netral
@fahrizalsyahdan0234,2025-12-29T10:19:47Z,Bang bahas iPhone air dong,Umum,Netral
@72054589,2025-12-27T09:00:55Z,"IPhone 17 pro max aslih, gak menarik",Umum,Netral
@wiwid_green,2025-12-27T06:36:54Z,"Biasanya gak tertarik sama iPhone, tp karena suka warna ijo kok ya jadi tertarik karena warnanya... Tp mikir lg😅. Ini ato emas 😅🤦.",Desain,Positif
@raffelahmat5533,2025-12-26T15:16:45Z,Harga mehong apa sih yg di jual,Harga,Netral
@UCHIHA-NABZZ,2025-12-26T08:03:18Z,Aku yng pake Infinix aja 50 mp,Umum,Netral
@danw4279,2025-12-26T04:49:42Z,Pro resnya ga nyala bang,Umum,Netral
@BadSaves,2025-12-25T09:02:02Z,"aaaaa bingung mau 17 apa 17 pro, tapi kok 17 pro aga yellow ya kameranya? apa karena layarnya??",Layar,Netral
@Jiejiell,2025-12-25T03:06:18Z,Mening hp ijo yg itu kasih aku bang🙇🏻‍♀️🙇🏻‍♀️,Umum,Netral
@yumecintaameterasu8876,2025-12-24T13:56:27Z,kalau hp buatan cina itu cpt rusak,Umum,Netral
@victormangarek3003,2025-12-23T05:47:34Z,ip17 basic alternatif  setara dengan hp android apa ? ada saran ?,Umum,Negatif
@dhiafasyakirin8929,2025-12-23T02:01:19Z,Ijo Sage Best yaqin,Umum,Netral
@KembangTrotoar,2025-12-22T23:39:20Z,"udah dua kali pake ip dari 12 14 smpe kini udah agak bosan sebab layar nya masih ada tompel belum berubah dari jaman dulu ,sedangkan merk lain udah full screen ,bahkan ada hp baru yg kamera depan tidak kelihatan alias sembunyi dibalik layar",Layar,Netral
@dress2feelpretty,2025-12-22T17:54:42Z,Harga iphone 17 di indonesia berapa ya?,Harga,Netral
@ninooroffice5394,2025-12-21T05:14:09Z,Wishlist bgt.. bentar lgi ultah.. please ad yg kasih ini Hp😊,Umum,Netral
@muharif2258,2025-12-16T09:12:15Z,Tutor live ganda di facebook pakai 17 basic,Umum,Netral
@lindhayanthi2023,2025-12-15T16:08:59Z,Kan dia review hp yah trus klo udah di review apakah akan di jual atau gimna(bertanya dg soft spoken),Harga,Positif
@mlhedon,2025-12-15T10:59:37Z,speaker pindah ke kiri🥹🥹,Umum,Netral
@messijuli778,2025-12-15T02:08:16Z,Pajak Rp: suka2,Harga,Positif
@wire157,2025-12-14T12:38:56Z,Sebagai penggemar zoom di iphone pro saya kok gak yakin hasil 17 pro😢😢,Umum,Netral
@uta_utari,2025-12-12T07:31:50Z,"Bagusan warna biru njer,menarik sih semoga bisa kebeli deh.",Harga,Positif
@annasetia4,2025-12-11T15:15:54Z,Ko kameranya bagusan 16 pro,Kamera,Positif
@NurKhalid-d3t,2025-12-09T12:36:12Z,Saya mau bang,Umum,Netral
@NurKhalid-d3t,2025-12-09T12:36:12Z,Saya mau bang,Umum,Netral
@mekshaaqlate673,2025-12-09T12:22:53Z,Keren.. tapi jelek amat warna nya. terang menerang 😂,Desain,Positif
@sriindah5046,2025-12-08T22:00:17Z,Fitur biasa jd luar bisa ketika ip yg punya wkwkwkwkwk,Umum,Netral
@elismansitumorang9454,2025-12-08T19:19:39Z,"Aku udah lama nunggu iPhone terbaik, tapi nunggunya yang subsidi aja KLO ada nanti
😂😂😂😂😂",Umum,Netral
@adamsyahril2190,2025-12-08T11:27:22Z,"Saran dong, mending iPhone 17 reguler, apa iPhone 16 pro nambah 300-400rb??",Umum,Negatif
@FitriYani-jb5vb,2025-12-07T19:33:21Z,Makin sini kok makin pelit sih si iPhone,Umum,Netral
@madelouies24-k7m,2025-12-07T12:22:27Z,Kapan di riview bang iPhone nya ?,Umum,Netral
@aldinurhafidz7141,2025-12-06T10:09:07Z,Nunggu iPhone 20 Aja Nanggung,Umum,Netral
@diycrafting66,2025-12-06T03:35:00Z,"menurut gw cuma Chanel ini yang agak berani review tiap brand memperlihatkan ketidak sukaan nya, bukan hanya muji2 saja... 😂",Umum,Positif
@elinnun,2025-12-06T02:27:26Z,warna dynamight deku,Desain,Netral
@williamzhang915,2025-12-03T01:40:57Z,review nya kayanya belom keluar ya ?,Umum,Netral
@fadilla308,2025-12-03T00:21:31Z,Pajak ngga ngotak,Harga,Netral
@nataliafransisca9247,2025-12-02T15:00:43Z,"Kak mau tanya, kalau kepala charger utk ip17 promax bagus anker atau u green?",Baterai,Positif
@AgusAja-j7o,2025-12-02T06:19:39Z,Apa faedahnya 😅 beli hp mahal mahal wk lancar buat ngegame aje Uda Seneng banget gw,Harga,Positif
@luckyarjuna7900,2025-12-01T17:08:10Z,"Kerja Gaji Gak Seberapa.. 
Sementara Biaya Hidup Itu Sangat Mahal..
Pemasukan Sedikit. 
Sementara Pengeluaran Banyak.
Dan Apa Apa Serba Mahal.. 
Sungguh Gak SeBanding.. 
JanganKan KePikiran Buat Beli Iphone.. 
Buat Kebutuhan Sehari Hari Aja Susah..",Harga,Positif
@MrAri-gi1kj,2025-12-01T06:24:20Z,Unboxing air pad17pro bag,Umum,Netral
@JC-sc8rw,2025-12-01T06:06:34Z,Poco be like : krn saya murah aja ya,Harga,Positif
@AldoKidsTV,2025-11-30T17:19:03Z,Pajaknya doang segitu😂 kaya bgt,Harga,Netral
@dimassantui,2025-11-30T10:02:30Z,17 pro vs 17 pro hdc david,Umum,Netral
@KacofySkinBeauty,2025-11-30T03:40:28Z,Charger ip 17 pakai apa bang yg worth it,Baterai,Netral
@Cundamani-t4c,2025-11-29T23:14:00Z,"Di Singapore iphone pro max 1.900$  256 gb lbh dikit, aku takut bawa balik indo ntar kena pajak mahal.... 😢 kalo mau 2tb 3100$  
Yang pro  256 gb 1750$",Harga,Negatif
@Penerbang_roket,2025-11-29T15:06:13Z,"klo yg iphone 17pro itu, warna orange terinvirasi  dari warna pabrikan motor KTM tim orange 👍 mantap sih warna nya GG abis, lain dari yg lain dan hanya iphone 17pro yg make warna orange, nice...",Desain,Positif
@zvrstfx,2025-11-29T11:12:56Z,25:00 vibesnya kek perampok wlwkw,Umum,Netral
@meow-kucheng,2025-11-29T09:33:12Z,Iklan doang 😂,Umum,Netral
@SebastianTisten-eu3he,2025-11-26T13:04:21Z,Justru bagus warna 17 pro,Desain,Positif
@Tataian-y1q,2025-11-26T05:04:04Z,Kapan oi reviewnya,Umum,Netral
@Tataian-y1q,2025-11-26T05:03:53Z,Kapan oi reviewnya,Umum,Netral
@barikmuhammad1714,2025-11-25T13:56:35Z,Warna Jackmania banget ya,Desain,Netral
@mmhusein7161,2025-11-24T11:35:35Z,kapan video review nya,Kamera,Netral
@YasminMumtasya,2025-11-24T07:43:18Z,"menurut ku sih yang iphone 17 bagus kamera nya jernih,Zoom nya bagus dan pas kk coba vidio dia gk ada edit filtur sedikit pun. jernih kameranya nya",Layar,Positif
@Emotbatu98,2025-11-23T15:31:41Z,Paling senang liat hijau sa*ge😍,Umum,Netral
@janelindsay7327,2025-11-22T17:52:27Z,"Ya ya ya, bukan cuma saya yg ngelihat warnanya rada gengges. Pertama kali pilih varian iphone, langsung kepincut ip 17 base. Dari segi design simple, elegan dan menurut saya lumayan handy dan pilihan warnanya masih kalem dan ok. Gak gonjreng!",Desain,Netral
@firmanjuma,2025-11-21T07:06:56Z,Biru atau hijau ?,Umum,Netral
@fahrizalradiansyah6164,2025-11-21T00:15:03Z,mana reviewnya 😂,Umum,Netral
@salsabilasocia,2025-11-20T08:47:20Z,Bang kapan review ip17 base modelnya. Lagi pertimbangin ip17 256gb vs ip15 256gb,Performa,Netral
@SupplierKomodity,2025-11-19T23:43:09Z,cara beli second hp gadget in gmn,Harga,Netral
@clarissa_1234,2025-11-18T00:19:11Z,nungguin review lengkap ko david ttg iphone 17 ini kok gak nongol2 yah?? apa cuma ini aja? 🥺,Umum,Netral
@yustikatalenta4915,2025-11-17T08:41:46Z,Mending 17 basic atau 16 pro?,Umum,Negatif
@OnlineNugi-h4i,2025-11-17T03:54:55Z,"Soal foto kalau yg ak amati ya. Misal ad perpindahal dari 2 ke 3 gt contohnya. Nnti di agak ngeblur dikit tp klu udah smpe di 3 dia jernih lg tp klu masih di 2,8/2,9 gt dia kya cba ad peralihannya contoh ny kya muter lensa gt lah paham g sih gt lah pokoknya😅😅",Layar,Positif
@atalyadeleon8636,2025-11-16T12:18:53Z,"bang bahas topik security hp bang, dan buat antisipasi hp dimaling, per brand hehe",Umum,Positif
@bayantini8935,2025-11-15T15:41:44Z,aku tidak suaka....aku tetap 13...pro,Umum,Netral
@raysharania5217,2025-11-15T12:47:32Z,Kak David unboxing laptop advance dong,Umum,Positif
@silabanjavabry3785,2025-11-15T12:46:29Z,"Coba bang
Ip 16 promax vc ip 17 promax",Umum,Netral
@aburosyidah,2025-11-15T06:59:07Z,selamat anda membuat saya iri,Umum,Netral
@NanaSusanto-g4m,2025-11-15T04:39:05Z,Sm huawei bgz mn bang??? Nnt di bandingin bang,Umum,Netral
@ShalehHajrah,2025-11-15T02:43:05Z,Ka bagusan recommend MN 16 pro te 17 basic ka,Umum,Positif
@RISKI_SUKA_RENDANG,2025-11-14T17:43:11Z,Pajak setara dengan hp bagus 🗿,Harga,Positif
@jayaqihaje313,2025-11-14T17:12:19Z,Bg bikin rekomendssi hp 1 jta zampe flagship,Performa,Netral
@jayaqihaje313,2025-11-14T17:12:13Z,Bg bikin rekomendssi hp 1 jta zampe flagship,Performa,Netral
@jayaqihaje313,2025-11-14T17:12:09Z,Bg bikin rekomendssi hp 1 jta zampe flagship,Performa,Netral
@jayaqihaje313,2025-11-14T17:12:05Z,Bg bikin rekomendssi hp 1 jta zampe flagship,Performa,Netral
@footballGame16,2025-11-14T13:54:40Z,"Masih setia dengan Oppo a33 2020😂 bukan nya gak mau upgrade tapi pengen aja marah-marah tiap hari karena hp ini ,maen game dls aja berat apalagi etusbol😂😂😂",Performa,Netral
@Dudung757,2025-11-14T04:57:54Z,17 pro dari belakang kayak HP mainan 😂😂😂,Performa,Netral
@reviewapaajadeh3079,2025-11-13T16:47:34Z,Langsung BATAL BELI GW abis liat david review iphone 17 pro .. hasil fotonya burik trnyata,Harga,Negatif
@mogami-san4012,2025-11-13T15:10:20Z,29:47 ini aku diang atau foto di iPhone 17 pro agak kekuningan,Kamera,Netral
@yasinnnn-x1x,2025-11-13T09:46:51Z,"Review hp 10%
Nyebut hijau sage 90%",Umum,Netral
@tarumajaya32,2025-11-12T15:59:16Z,"Gw yg udh nyobain 16 up ke 17 pro asli kameranya lebih ok yg 16, lebih detail sepertinyg di review, 17 pro udh kaya kena filter lebih halus, dan warna layar lebih kuning dibanding 16",Layar,Netral
@cindyhargitas6240,2025-11-12T13:49:04Z,Ko david selain iphone 17 yang worthid dibeli tahun ini yang mana?,Harga,Netral
@OFFICIAL_DODOL-h7v,2025-11-12T09:55:41Z,Mudah mudahan bisa beli🙏,Harga,Netral
@BayuSahputra-n8v,2025-11-11T10:08:45Z,"Gilak pajak ipon 2...unit..8jt lebih,,,x ribuan unit,,njirr kaya pejabat(babu rakyat)",Harga,Positif
@andreasiniesta1338,2025-11-10T03:57:01Z,"jangan bilang hijau miskin bang, TYM",Umum,Netral
@KadekRestu-p2v,2025-11-10T03:05:38Z,Poco x17 pro max🗿,Umum,Netral
@Gobedlia1933,2025-11-10T00:22:44Z,Bang David cek nubia redmagic 11 pro+,Umum,Netral
@marwahsaridewi2692,2025-11-09T04:42:42Z,Bang review infinix xpad 20 pro donggg🙏🙏🙏🙏,Umum,Netral
@DOLAN_93,2025-11-09T03:24:24Z,31:45 jarang² youtuber ngomong gitu david doang yg berani,Umum,Netral
@tandytanz,2025-11-08T22:19:41Z,apakah udah setting Camera preServe nya dinyalain semua? defaultnya 17 itu kan 24 mp jd harus d set ke 48 MP kalo misal default setting ya sama aja kek 16 la. soalnya default settingnya itu untuk optimalisasi storage biar ga terlalu boros size filenya,Baterai,Negatif
@HeruSadBoyHeruYBArab1,2025-11-08T07:38:48Z,Kls kapan bisa beli aku,Harga,Netral
@SuhartoReksoJudha,2025-11-08T05:23:07Z,"motor trail KTM.. 
.. orange ... 

matching.. ❤",Umum,Netral
@bossman3020,2025-11-07T01:29:33Z,masih belum ada review khusus nya ni,Umum,Netral
@AzwLa,2025-11-06T23:55:01Z,Hanya iohone 15 dan 16 yg desainya mewah elegean. 😂 Kayaknya aku malu deh megang iPhone 17 soalnya kaya bukan hape poco poco hape nya Xiaomi entry oevel😂,Desain,Netral
@AlmightyWren,2025-11-06T22:26:33Z,Aaaaaa baru beli 16 pro dan masih gamon sama 17 basic karena sempet galau milih antara mereka 😭 please yakinin tapi buat ngonser masih worth it 16 pro kan... 😭😭😭,Harga,Netral
@ibnuathoillahas-sakandary3052,2025-11-06T14:46:14Z,25:03 kayak POCO 😂,Umum,Netral
@ibnuathoillahas-sakandary3052,2025-11-06T14:45:08Z,"DAVID pengen bilang warna oranye iPhone JELEK, tapi ga enak aja bilangnya 😅😅😅",Desain,Negatif
@ibnuathoillahas-sakandary3052,2025-11-06T14:42:07Z,Kayak hp China gak sii 😅,Umum,Netral
@WicardaSand,2025-11-06T11:52:24Z,"Wah, review-nya jujur banget. Dompetku langsung bergetar pengen beli 🥲 ᴋᴜʀɪʀꜱʟᴏᴛ",Harga,Netral
@JEVRYNEO,2025-11-06T10:57:24Z,nonton video ini pake android 😢😢,Kamera,Negatif
@its.moonie213,2025-11-06T09:05:07Z,"jadi mending ip 16 apa 17 ya, masih bingung",Umum,Negatif
@tyee613,2025-11-05T13:24:02Z,bagi satuu😭😭🙏🏻,Umum,Netral
@Abihtemborotomaychannel,2025-11-05T13:01:52Z,BANG RIVEW KAN DONG KAMERAH VIDIO HP REALMI 15 PRO GAME OF THRONE KAN WAKTU ABANG REVEW KEMARIN KAMERAH VIDIONYA BLM ABANG SEVILKAN,Kamera,Netral
@anggarasutisna7031,2025-11-04T23:47:04Z,"Dari dulu pake iphone 6😁diejek temen ini itu, pas juli 2025 langsung ganti smsung s24 ultra",Umum,Netral
@PangJia-lg6xp,2025-11-04T16:12:06Z,G jadi beli ah,Harga,Netral
@xham6231,2025-11-04T06:03:40Z,"dari 5,7plus,XR,14pro (last lah udah paling mantap) cape banget ngikutin iphone jing 🥲",Umum,Positif
@roifnurwahid2080,2025-11-04T05:42:03Z,lagi liat riview iphone 17 promax nontonnya pake iphone 17 promax😊😊😊😊,Performa,Netral
@ConfusedBeachHammock-kg3vc,2025-11-04T03:08:12Z,Sampai Googling arti Sage. Ternyata tanaman obat herbal. Nice.,Umum,Netral
@inamfadlillah7904,2025-11-03T01:44:06Z,"Model nya jadi norak, bagus model lama",Desain,Positif
@rezhainakaro,2025-11-02T22:25:54Z,Jadi ingin merasakan teknologinya 😊😊,Umum,Netral
@rahmatfatihalkiromi9293,2025-11-02T14:49:45Z,Hp cina😂,Umum,Netral
@SariYogaSwastiani,2025-11-02T03:42:54Z,menunggu review ipadnya jugaaaa😁,Umum,Netral
@AzwLa,2025-11-02T01:36:22Z,Knpa iphone17 pro kaya hape poco yg murah😂😂😂😂😂 desain belakang nya,Harga,Positif
@ziefebian9380,2025-11-01T07:47:55Z,Relate bgt jirr warna ijo tembok org miskin😂😂😂😂😂,Desain,Netral
@AlfaRiansyah-h3i,2025-11-01T01:42:28Z,Di luncur langsung beli 1:03 😊,Harga,Netral
@DyiauddinTorjun,2025-11-01T01:03:16Z,Warna gak suka sekali,Desain,Positif
@qemherlambang502,2025-10-31T22:27:18Z,"Kasiann ,, orang miskin akan senyum liat ini... 😂😂😂",Umum,Netral
@oficialwanda_ku988,2025-10-31T17:14:13Z,Bang seneng banget jadi kamu rejekinya lancar sehat selalu.beda dg saya harus berusaha sekuat mungkin jadi TKW padahal seorang istri.😭😆doain ya bang rejekinya sama kaya Abang sehat sll,Umum,Positif
@chiikal30,2025-10-31T08:43:11Z,Bang itu hp Poco 17 pro ya,Umum,Netral
@andikoko6550,2025-10-31T07:12:08Z,Ijo EN u,Umum,Netral
@fauziahmade2795,2025-10-30T21:08:06Z,Pasar dipaksa nerima desain iphone yg skrang gk sih😂semoga nasib nya gk jadi ky brand suzuki yg kualitas bagus tpi desain aneh,Desain,Positif
@Katatiana,2025-10-30T16:07:31Z,Q juga lagi mikir soal warna. Mulai I phone 6 plus 8 plus 11 .13 pro .skrg 15 pro pengen up 17 pro tapi kalau sama warna . Putih dah biasa mau oren kok ya jlk 😂betul kata David dia hy unik,Performa,Netral
@FadliRizq12,2025-10-30T14:57:15Z,"🤓""120hz iphone = 1000hz android""",Layar,Negatif
@sandialdrian2784,2025-10-30T13:22:22Z,Di bandingin sama bungkus kacang😢😂,Umum,Netral
@antonraharjo84,2025-10-30T08:41:33Z,info bang.kalau seperti adaptor 40w dynamic power adapter with 60w gak ada di ibox dan deler lainya. untuk beli di web nya apple gimana caranya ya.sdh tak coba mentok di alamat.mungkin ada cara lain.dan softcase nya juga pada kosong kadang.pliss,Harga,Netral
@MNiam-bb1nl,2025-10-29T19:13:45Z,Guys doain gua punya uang 100m sebelum umur 30 tahun ❤❤,Umum,Netral
@HusnudLinda,2025-10-29T14:35:18Z,bang ga mau kirim iphone2 bekas reviewan nya apaaaahhh 😅,Umum,Netral
@DogmaPuppet,2025-10-29T12:36:28Z,"25:01 Segel Orochimaru di leher Sasuke.
Obat nyamuk Tiga Roda.",Umum,Netral
@GhifariNaufall,2025-10-29T10:04:57Z,❤iphone 17 pro max 2tb black,Umum,Netral
@mayurimayura,2025-10-29T08:58:07Z,Eh tp sama gak sih kayak kasusnya 13 pro/promax sama 14 pro/promax. Soal camera bagusan seri 13 drpd 14.,Umum,Positif
@ZENTHOR7,2025-10-29T04:35:00Z,kpn reviewnya bang,Umum,Netral
@mariaagista2937,2025-10-29T03:20:15Z,Liat vid ini sambil pake ip 17pro 😅,Umum,Netral
